team_1,score_1,team_2,scores_2,time
India,445 & ,England,319,2024-02-17 17:36:42.058519
India,445 & ,England,319,2024-02-17 17:38:19.417316
India,445 & ,England,319,2024-02-17 17:39:25.775631
